2020/11/15,AQU,7,ClmN,8.0,D,7.50,Vitesse,4,1,1,0,2,-5,2,-1,4,-12,2,0.15,4,0.25,1,0.15,5,-0.47,1,8876.666666666666,False,False,0,False,4,4.00,True,False,365,293,441,21
2020/11/15,AQU,8,AOC,6.5,D,13.20,More Graytful,9,2,3,1,3,-7,3,-5,7,-6,3,0.18,7,0.75,2,0.24,6,-0.20,2,16191.42857142857,False,False,0,False,4,1.75,False,False,336,261,410,43
2020/11/15,AQU,9,STK,8.5,T,7.90,Duopoly,4,2,0,0,3,-7,5,-10,4,-3,1,0.23,3,0.75,2,0.23,5,-0.45,5,18258.5,False,False,0,False,5,4.50,False,False,328,338,245,30
2020/11/15,AQU,10,MCL,6.5,D,126.00,Prospect Mountain,0,,,,12,,11,,12,,14,0.05,,,12,0.06,8,-0.55,12,,,,,,,,False,,328,291,358,
2020/11/20,AQU,1,MCL,6.0,D,3.40,Tap the Barrel,2,0,0,0,5,-24,5,-52,3,-16,1,0.23,1,1.0,1,0.21,2,-0.49,3,1014.9999999999999,False,False,0,False,12,99.99,False,False,315,279,319,30
2020/11/20,AQU,2,MSW,6.0,T,9.30,Athena Dancer,1,0,0,0,3,-4,3,-4,4,-4,8,0.12,6,0.0,1,0.21,6,-0.48,1,2800.0,False,False,0,False,5,8.75,True,False,321,326,309,14
2020/11/20,AQU,3,CLM,8.5,T,14.00,Noble Thought,36,11,8,6,12,-22,3,-5,6,-5,3,0.18,5,0.5,10,0.1,6,-0.39,1,13258.333333333334,False,False,0,True,1,0.05,False,False,349,308,367,47
2020/11/20,AQU,4,CLM,6.0,D,4.00,McErin,18,3,2,3,1,8,1,9,1,3,3,0.12,1,1.0,2,0.15,6,-0.45,5,4126.666666666667,False,False,0,False,2,0.25,False,False,362,256,357,22
2020/11/20,AQU,5,AOC,6.0,T,4.70,Mo Maverick,23,7,4,2,1,5,8,-9,1,11,1,0.23,1,1.0,4,0.17,9,-0.60,10,5280.0,False,False,0,False,4,3.60,False,False,358,342,405,22
2020/11/20,AQU,7,AOC,6.0,D,31.40,Letmetakethiscall,28,9,6,3,3,-6,11,-19,3,-5,9,0.11,1,1.0,11,0.07,5,-0.48,4,13389.666666666666,False,False,0,False,7,10.85,False,False,391,274,386,34
2020/11/20,AQU,8,ClmN,8.5,T,17.80,So High (GB),8,2,3,0,5,-18,8,-18,6,-15,3,0.18,9,0.625,4,0.19,2,-0.42,9,6123.0,False,False,-1,False,10,13.10,False,False,276,280,295,44
2020/11/20,AQU,9,ALW,8.0,T,23.40,Sun Summers,11,3,3,2,5,-8,9,-11,10,-8,10,0.13,5,0.75,4,0.2,3,-0.08,4,13670.0,False,False,1,True,1,3.00,True,False,350,318,388,63
2020/11/20,AQU,10,ClmN,6.0,D,69.00,Anydayisherday,16,1,3,1,8,-13,7,-16,12,-15,7,0.11,8,0.375,12,0.06,14,-1.00,5,5052.142857142857,False,False,0,False,7,24.50,False,False,316,242,341,12
2020/11/22,AQU,1,MCL,6.0,T,14.40,Amistad,5,0,0,1,5,-7,9,-23,2,-6,7,0.11,4,0.6,2,0.19,4,-0.18,6,1720.0,False,False,0,False,5,11.35,False,False,346,293,376,24
2020/11/22,AQU,2,ClmN,8.5,T,10.80,Reckless Spirit,11,1,1,2,2,-1,2,-3,4,-4,11,0.10,2,0.75,3,0.16,1,,14,1887.142857142857,False,False,0,False,4,0.60,False,False,368,355,390,21
2020/11/22,AQU,3,STK,7.0,D,3.60,Funny Guy,15,5,5,0,1,4,4,-11,1,3,2,0.18,1,0.875,3,0.18,3,-0.46,1,34800.0,False,False,0,False,4,6.50,False,False,323,306,378,29
2020/11/22,AQU,4,MCL,8.5,T,6.70,Valletta,8,0,1,1,4,-7,1,3,3,-2,5,0.15,6,0.5,2,0.23,2,-0.31,5,2940.0,False,False,0,False,2,1.25,False,False,400,344,425,57
2020/11/22,AQU,5,MSW,8.0,D,3.90,Brattle House,0,,,,8,,7,,8,,3,0.18,,,1,0.2,8,-0.83,8,,,,,,,,False,,360,275,397,
2020/11/22,AQU,6,ClmN,7.0,D,42.80,Somebody,16,2,3,1,5,-9,1,0,5,-8,10,0.06,3,0.75,4,0.16,2,-0.26,10,2790.0,False,True,0,False,2,0.25,False,False,364,264,388,99
2020/11/22,AQU,7,ALW,8.5,T,6.40,Sanctuary City,7,1,3,1,1,1,2,-4,1,9,11,0.12,14,0.14285714285714285,16,0.07,6,-0.38,2,13790.0,False,False,0,False,2,0.75,False,False,317,319,270,16
2020/11/22,AQU,8,ALW,8.5,T,6.50,Kilkea,7,1,4,0,1,1,2,-2,3,-5,3,0.16,3,0.8571428571428571,8,0.09,3,-0.25,2,13743.333333333334,False,False,0,False,2,2.50,False,False,372,348,395,21
2020/11/22,AQU,9,STK,7.0,D,15.20,Espresso Shot,16,3,3,1,3,-5,3,-6,4,-6,2,0.15,1,0.875,3,0.17,1,-0.29,6,7076.0,True,False,0,False,5,3.75,False,False,307,247,351,29
2020/11/22,AQU,10,MCL,8.5,T,9.60,My Lips Are Sealed,1,0,0,0,3,-6,6,-7,13,-26,6,0.12,9,0.0,1,0.21,1,-0.21,12,400.0,False,False,-1,False,9,15.85,False,False,353,282,368,176
2020/11/27,AQU,1,MSW,8.0,D,5.50,Re Created,2,0,0,0,2,-17,3,-25,2,-17,3,0.12,3,0.0,7,0.06,6,-0.69,5,1586.0,False,False,0,False,5,27.00,False,False,383,327,394,26
2020/11/27,AQU,2,MSW,6.0,T,5.60,Shop Girl,0,,,,7,,6,,7,,16,0.00,,,3,0.21,11,-0.50,7,,,,,,,,False,,349,332,354,
2020/11/27,AQU,3,CLM,8.0,D,4.70,Daria's Angel,36,8,8,7,2,-1,11,-31,2,-10,2,0.15,1,0.875,1,0.22,8,-0.57,1,12045.0,False,False,0,False,6,26.75,False,False,374,263,391,49
2020/11/27,AQU,4,ALW,6.0,D,3.70,Spin a Yarn,7,5,1,0,1,6,1,3,1,5,2,0.16,1,1.0,1,0.23,5,-0.26,3,11733.333333333334,False,False,-1,False,8,7.25,True,False,361,190,361,34
2020/11/27,AQU,5,STK,8.5,T,10.40,City Man,9,2,2,1,4,-2,6,-4,6,-3,3,0.15,2,0.75,2,0.21,9,-0.45,6,13950.0,False,False,0,False,2,0.75,True,False,383,330,395,84
2020/11/27,AQU,6,CLM,6.0,D,49.60,Suz,29,6,6,8,2,-1,6,-14,5,-7,9,0.09,1,1.0,8,0.07,4,-0.44,8,4895.833333333333,False,False,0,True,1,0.25,False,False,367,250,310,19
2020/11/27,AQU,7,AOC,6.0,D,5.00,Pete's Play Call,44,12,9,6,1,7,1,7,1,2,1,0.19,5,0.75,6,0.1,2,-0.26,3,13131.363636363636,True,False,0,False,2,0.10,True,False,399,277,405,33
2020/11/27,AQU,8,GStk,9.0,D,9.50,Mrs. Danvers,7,2,3,1,2,-2,3,-4,3,-4,2,0.16,3,0.8571428571428571,2,0.23,8,-0.58,7,19300.0,False,False,1,True,1,0.25,False,False,388,307,427,33
